id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,Batting_first,BF_Set,BF_wkts_fallen,BF_HScorer,BF_PlayerScored,BF_PlayerBallsfaced,BF_HWtaker,BF_HWballs,PDis_by_BF,RC_by_BF,Batting_second,BS_score,BS_wkts_fallen,BS_HScorer,BS_PlayerScored,BS_PlayerBallsfaced,BS_HWtaker,BS_HWballs,PDis_by_BS,RC_by_BS
187,2010,Ahmedabad,2010-03-20,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Rajasthan Royals,34,0,AA Jhunjhunwala,"Sardar Patel Stadium, Motera",RE Koertzen,RB Tiffin,Rajasthan Royals,168,7,AA Jhunjhunwala,45,37,MM Patel,18.0,2.0,20.0,Kolkata Knight Riders,134.0,5.0,BJ Hodge,36.0,34.0,AB Dinda,24,2,28
188,2010,Mumbai,2010-03-20,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,0,7,JH Kallis,Brabourne Stadium,HDPK Dharmasena,SS Hazare,Mumbai Indians,151,9,SR Tendulkar,25,23,Z Khan,24.0,2.0,20.0,Royal Challengers Bangalore,155.0,3.0,JH Kallis,66.0,55.0,DW Steyn,27,3,26
189,2010,Cuttack,2010-03-21,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,normal,0,Deccan Chargers,10,0,A Symonds,Barabati Stadium,BF Bowden,M Erasmus,Deccan Chargers,171,6,RG Sharma,45,30,A Symonds,25.0,3.0,22.0,Delhi Capitals,161.0,9.0,DA Warner,57.0,33.0,A Mishra,19,1,13
190,2010,Chennai,2010-03-21,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,tie,0,Kings XI Punjab,0,0,J Theron,"MA Chidambaram Stadium, Chepauk",K Hariharan,DJ Harper,Kings XI Punjab,136,8,Yuvraj Singh,43,28,J Theron,27.0,3.0,19.0,Chennai Super Kings,136.0,7.0,PA Patel,57.0,60.0,M Muralitharan,24,3,16
191,2010,Mumbai,2010-03-22,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,0,7,SR Tendulkar,Brabourne Stadium,SS Hazare,SJA Taufel,Kolkata Knight Riders,155,3,CH Gayle,75,65,I Sharma,25.0,2.0,44.0,Mumbai Indians,156.0,3.0,SR Tendulkar,71.0,52.0,Z Khan,24,2,28
192,2010,Bangalore,2010-03-23,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,36,0,RV Uthappa,M Chinnaswamy Stadium,RE Koertzen,RB Tiffin,Royal Challengers Bangalore,171,5,RV Uthappa,68,38,R Vinay Kumar,25.0,5.0,40.0,Chennai Super Kings,135.0,7.0,ML Hayden,32.0,32.0,M Muralitharan,25,3,30
193,2010,Chandigarh,2010-03-24,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Rajasthan Royals,31,0,AC Voges,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,SK Tarapore,Rajasthan Royals,183,5,AC Voges,45,24,SW Tait,20.0,3.0,22.0,Kings XI Punjab,152.0,10.0,MS Bisla,35.0,19.0,IK Pathan,24,2,45
194,2010,Mumbai,2010-03-25,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,SR Tendulkar,Brabourne Stadium,BF Bowden,AM Saheba,Chennai Super Kings,180,2,SK Raina,83,53,M Muralitharan,25.0,2.0,32.0,Mumbai Indians,181.0,5.0,SR Tendulkar,72.0,54.0,R McLaren,27,1,24
195,2010,Ahmedabad,2010-03-26,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,Rajasthan Royals,0,8,YK Pathan,"Sardar Patel Stadium, Motera",HDPK Dharmasena,SJA Taufel,Deccan Chargers,148,9,RG Sharma,49,37,A Symonds,12.0,1.0,9.0,Rajasthan Royals,151.0,2.0,YK Pathan,73.0,35.0,SW Tait,27,4,25
196,2010,Chandigarh,2010-03-27,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,39,0,MK Tiwary,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,S Ravi,Kolkata Knight Riders,183,5,MK Tiwary,75,50,SE Bond,25.0,2.0,24.0,Kings XI Punjab,144.0,6.0,KC Sangakkara,30.0,27.0,SJ Srivastava,22,2,23
