Player,Team,Batting Innings,Runs,Bowling Innings,Wickets
MD Mishra,Pune Warriors,6.0,71.0,0.0,0.0
Washington Sundar,Royal Challengers Bangalore,7.0,70.0,10.0,8.0
K Rabada,Delhi Capitals,7.0,70.0,18.0,31.0
AA Bilakhia,Deccan Chargers,7.0,69.0,0.0,0.0
SP Goswami,Rajasthan Royals,6.0,69.0,0.0,0.0
B Lee,Kolkata Knight Riders,9.0,68.0,25.0,16.0
R Bhatia,Rajasthan Royals,8.0,67.0,14.0,12.0
Z Khan,Royal Challengers Bangalore,13.0,67.0,43.0,49.0
DL Vettori,Delhi Capitals,6.0,67.0,12.0,11.0
Ankit Sharma,Delhi Capitals,3.0,66.0,0.0,0.0
R McLaren,Mumbai Indians,7.0,66.0,10.0,4.0
RJ Harris,Deccan Chargers,10.0,66.0,16.0,20.0
AM Nayar,Pune Warriors,9.0,66.0,3.0,2.0
R Bhatia,Delhi Capitals,11.0,66.0,21.0,19.0
EJG Morgan,Kings XI Punjab,4.0,65.0,0.0,0.0
Mohammad Hafeez,Kolkata Knight Riders,8.0,64.0,4.0,2.0
B Akhil,Royal Challengers Bangalore,10.0,63.0,12.0,6.0
GJ Bailey,Chennai Super Kings,3.0,63.0,0.0,0.0
LRPL Taylor,Pune Warriors,5.0,63.0,0.0,0.0
Anirudh Singh,Deccan Chargers,4.0,63.0,0.0,0.0
Iqbal Abdulla,Royal Challengers Bangalore,5.0,62.0,15.0,12.0
AD Nath,Royal Challengers Bangalore,5.0,62.0,0.0,0.0
A Flintoff,Chennai Super Kings,3.0,62.0,3.0,2.0
WD Parnell,Pune Warriors,11.0,61.0,18.0,20.0
TG Southee,Royal Challengers Bangalore,5.0,61.0,11.0,6.0
HV Patel,Delhi Capitals,3.0,61.0,7.0,9.0
SP Goswami,Sunrisers Hyderabad,3.0,60.0,0.0,0.0
AD Mascarenhas,Rajasthan Royals,7.0,60.0,8.0,12.0
S Aravind,Royal Challengers Bangalore,10.0,59.0,38.0,45.0
DL Chahar,Chennai Super Kings,6.0,59.0,29.0,32.0
M Vohra,Royal Challengers Bangalore,4.0,59.0,0.0,0.0
JJ Roy,Gujarat Lions,3.0,59.0,0.0,0.0
MG Johnson,Mumbai Indians,8.0,59.0,22.0,31.0
H Klaasen,Rajasthan Royals,4.0,58.0,0.0,0.0
AD Russell,Delhi Capitals,4.0,58.0,7.0,1.0
MJ Guptill,Mumbai Indians,3.0,57.0,0.0,0.0
RR Powar,Kings XI Punjab,6.0,56.0,21.0,11.0
WA Mota,Kings XI Punjab,8.0,56.0,7.0,4.0
B Lee,Kings XI Punjab,10.0,56.0,13.0,9.0
JD Ryder,Royal Challengers Bangalore,5.0,56.0,5.0,3.0
M Kaif,Royal Challengers Bangalore,5.0,55.0,0.0,0.0
IK Pathan,Sunrisers Hyderabad,6.0,55.0,10.0,4.0
DW Steyn,Deccan Chargers,10.0,55.0,24.0,32.0
DL Vettori,Royal Challengers Bangalore,10.0,54.0,22.0,17.0
AJ Tye,Gujarat Lions,3.0,53.0,6.0,12.0
RR Rossouw,Royal Challengers Bangalore,5.0,53.0,0.0,0.0
A Chopra,Kolkata Knight Riders,6.0,53.0,0.0,0.0
Shoaib Malik,Delhi Capitals,5.0,52.0,5.0,2.0
TL Suman,Pune Warriors,5.0,52.0,1.0,1.0
RT Ponting,Mumbai Indians,5.0,52.0,0.0,0.0
R Rampaul,Royal Challengers Bangalore,7.0,51.0,12.0,14.0
RJ Harris,Kings XI Punjab,11.0,51.0,21.0,25.0
LA Pomersbach,Royal Challengers Bangalore,4.0,51.0,0.0,0.0
JD Unadkat,Rajasthan Royals,7.0,50.0,26.0,21.0
R Bhatia,Rising Pune Supergiant,6.0,50.0,13.0,8.0
DS Kulkarni,Rajasthan Royals,7.0,50.0,37.0,29.0
MS Gony,Chennai Super Kings,8.0,50.0,26.0,23.0
M Rawat,Rajasthan Royals,10.0,50.0,0.0,0.0
R Vinay Kumar,Kochi Tuskers Kerala,7.0,50.0,13.0,12.0
UT Yadav,Kolkata Knight Riders,10.0,50.0,47.0,48.0
MK Tiwary,Kings XI Punjab,4.0,49.0,1.0,0.0
AG Paunikar,Rajasthan Royals,5.0,49.0,0.0,0.0
AS Yadav,Deccan Chargers,6.0,49.0,0.0,0.0
KV Sharma,Mumbai Indians,6.0,49.0,9.0,13.0
KB Arun Karthik,Royal Challengers Bangalore,7.0,48.0,0.0,0.0
Mohammed Shami,Delhi Capitals,13.0,48.0,32.0,20.0
J Suchith,Mumbai Indians,5.0,48.0,13.0,10.0
CM Gautam,Delhi Capitals,4.0,48.0,0.0,0.0
Yashpal Singh,Kolkata Knight Riders,4.0,47.0,0.0,0.0
SB Bangar,Deccan Chargers,6.0,47.0,9.0,4.0
HV Patel,Royal Challengers Bangalore,12.0,47.0,34.0,34.0
AB McDonald,Royal Challengers Bangalore,4.0,47.0,4.0,6.0
CR Woakes,Kolkata Knight Riders,7.0,46.0,13.0,17.0
Kuldeep Yadav,Kolkata Knight Riders,8.0,46.0,39.0,39.0
RV Gomez,Kochi Tuskers Kerala,8.0,46.0,8.0,5.0
MS Gony,Kings XI Punjab,4.0,45.0,8.0,7.0
JA Morkel,Royal Challengers Bangalore,5.0,45.0,6.0,4.0
VVS Laxman,Kochi Tuskers Kerala,3.0,44.0,0.0,0.0
UT Yadav,Delhi Capitals,13.0,44.0,46.0,43.0
RP Singh,Deccan Chargers,19.0,44.0,42.0,51.0
IR Jaggi,Deccan Chargers,5.0,43.0,0.0,0.0
AM Nayar,Rajasthan Royals,4.0,43.0,0.0,0.0
J Botha,Delhi Capitals,6.0,43.0,6.0,5.0
Sunny Singh,Kings XI Punjab,5.0,43.0,0.0,0.0
AB Barath,Kings XI Punjab,3.0,42.0,0.0,0.0
JDS Neesham,Delhi Capitals,3.0,42.0,4.0,1.0
GC Smith,Pune Warriors,4.0,42.0,0.0,0.0
SK Trivedi,Rajasthan Royals,14.0,42.0,75.0,65.0
Ankit Sharma,Rajasthan Royals,4.0,41.0,7.0,7.0
AJ Tye,Kings XI Punjab,9.0,41.0,20.0,27.0
R Ashwin,Rising Pune Supergiant,6.0,41.0,14.0,10.0
VR Aaron,Royal Challengers Bangalore,4.0,41.0,23.0,21.0
S Dube,Royal Challengers Bangalore,4.0,40.0,2.0,0.0
LPC Silva,Deccan Chargers,3.0,40.0,1.0,0.0
Z Khan,Mumbai Indians,9.0,40.0,26.0,26.0
BR Dunk,Mumbai Indians,3.0,40.0,0.0,0.0
RT Ponting,Kolkata Knight Riders,4.0,39.0,0.0,0.0
Umar Gul,Kolkata Knight Riders,4.0,39.0,6.0,12.0
AUK Pathan,Royal Challengers Bangalore,7.0,39.0,3.0,0.0
DJ Thornely,Mumbai Indians,4.0,39.0,4.0,3.0
M Kartik,Pune Warriors,5.0,38.0,17.0,5.0
MC Henriques,Kolkata Knight Riders,3.0,38.0,4.0,2.0
SP Jackson,Kolkata Knight Riders,3.0,38.0,0.0,0.0
JJ Bumrah,Mumbai Indians,10.0,37.0,77.0,82.0
R Sharma,Pune Warriors,15.0,37.0,36.0,34.0
MS Bisla,Royal Challengers Bangalore,2.0,37.0,0.0,0.0
TG Southee,Mumbai Indians,5.0,37.0,14.0,12.0
MM Patel,Rajasthan Royals,8.0,37.0,30.0,33.0
RE van der Merwe,Delhi Capitals,6.0,36.0,10.0,10.0
Sohail Tanvir,Rajasthan Royals,5.0,36.0,11.0,22.0
GJ Maxwell,Mumbai Indians,3.0,36.0,2.0,0.0
Joginder Sharma,Chennai Super Kings,5.0,36.0,15.0,12.0
Harbhajan Singh,Chennai Super Kings,4.0,35.0,23.0,23.0
A Kumble,Royal Challengers Bangalore,15.0,35.0,42.0,45.0
B Sumanth,Deccan Chargers,4.0,35.0,0.0,0.0
EJG Morgan,Royal Challengers Bangalore,4.0,35.0,0.0,0.0
A Ashish Reddy,Deccan Chargers,5.0,35.0,9.0,11.0
M Manhas,Chennai Super Kings,5.0,35.0,0.0,0.0
M Santner,Chennai Super Kings,2.0,35.0,4.0,4.0
Mohammed Siraj,Royal Challengers Bangalore,6.0,34.0,20.0,18.0
KW Richardson,Pune Warriors,2.0,34.0,3.0,2.0
A Mithun,Royal Challengers Bangalore,6.0,34.0,16.0,7.0
AP Dole,Rajasthan Royals,2.0,34.0,3.0,5.0
L Ronchi,Mumbai Indians,5.0,34.0,0.0,0.0
D Salunkhe,Rajasthan Royals,3.0,33.0,5.0,1.0
UT Yadav,Royal Challengers Bangalore,10.0,33.0,25.0,28.0
IR Jaggi,Kolkata Knight Riders,2.0,33.0,0.0,0.0
Anureet Singh,Kings XI Punjab,7.0,33.0,17.0,15.0
I Sharma,Kolkata Knight Riders,10.0,33.0,31.0,25.0
P Kumar,Gujarat Lions,8.0,32.0,22.0,15.0
S Sreesanth,Kings XI Punjab,7.0,32.0,28.0,28.0
RJ Peterson,Mumbai Indians,5.0,32.0,4.0,3.0
S Nadeem,Delhi Capitals,17.0,32.0,59.0,40.0
M Markande,Mumbai Indians,7.0,31.0,17.0,16.0
J Botha,Kolkata Knight Riders,3.0,31.0,4.0,1.0
T Taibu,Kolkata Knight Riders,3.0,31.0,0.0,0.0
LR Shukla,Delhi Capitals,3.0,31.0,5.0,1.0
C Munro,Kolkata Knight Riders,3.0,30.0,2.0,0.0
VH Zol,Royal Challengers Bangalore,2.0,29.0,0.0,0.0
R Sharma,Deccan Chargers,4.0,29.0,6.0,5.0
NM Coulter-Nile,Delhi Capitals,7.0,29.0,16.0,20.0
SN Thakur,Chennai Super Kings,3.0,29.0,22.0,24.0
MN Samuels,Delhi Capitals,4.0,29.0,2.0,0.0
MM Sharma,Chennai Super Kings,9.0,29.0,48.0,58.0
J Syed Mohammad,Royal Challengers Bangalore,5.0,29.0,11.0,8.0
SP Goswami,Kolkata Knight Riders,4.0,29.0,0.0,0.0
MR Marsh,Deccan Chargers,2.0,28.0,3.0,2.0
M Lomror,Rajasthan Royals,3.0,28.0,2.0,0.0
Ankit Sharma,Rising Pune Supergiant,2.0,28.0,4.0,1.0
DS Kulkarni,Gujarat Lions,6.0,28.0,20.0,21.0
DT Christian,Delhi Capitals,3.0,28.0,4.0,4.0
M Kaif,Kings XI Punjab,3.0,28.0,0.0,0.0
Basil Thampi,Gujarat Lions,5.0,28.0,12.0,11.0
S Sriram,Royal Challengers Bangalore,1.0,27.0,1.0,0.0
SB Jakati,Chennai Super Kings,4.0,27.0,48.0,45.0
NL McCullum,Pune Warriors,2.0,26.0,2.0,0.0
Sandeep Sharma,Kings XI Punjab,11.0,26.0,56.0,71.0
Iqbal Abdulla,Kolkata Knight Riders,8.0,26.0,32.0,28.0
JM Kemp,Chennai Super Kings,2.0,26.0,5.0,3.0
MA Agarwal,Rising Pune Supergiant,3.0,26.0,0.0,0.0
OA Shah,Kochi Tuskers Kerala,2.0,26.0,0.0,0.0
S Chanderpaul,Royal Challengers Bangalore,3.0,25.0,0.0,0.0
A Choudhary,Royal Challengers Bangalore,3.0,25.0,5.0,5.0
A Nehra,Delhi Capitals,7.0,25.0,27.0,36.0
T Curran,Kolkata Knight Riders,4.0,24.0,5.0,6.0
AA Jhunjhunwala,Deccan Chargers,3.0,24.0,3.0,1.0
R Sathish,Kolkata Knight Riders,3.0,24.0,3.0,1.0
ER Dwivedi,Gujarat Lions,2.0,24.0,0.0,0.0
MA Khote,Mumbai Indians,3.0,24.0,2.0,2.0
S Narwal,Kolkata Knight Riders,1.0,23.0,1.0,0.0
BMAJ Mendis,Delhi Capitals,3.0,23.0,2.0,1.0
NS Naik,Kings XI Punjab,2.0,23.0,0.0,0.0
DS Kulkarni,Mumbai Indians,6.0,23.0,33.0,36.0
J Arunkumar,Royal Challengers Bangalore,3.0,23.0,0.0,0.0
NLTC Perera,Kochi Tuskers Kerala,2.0,23.0,4.0,2.0
SW Tait,Rajasthan Royals,5.0,23.0,21.0,23.0
AJ Finch,Mumbai Indians,3.0,23.0,0.0,0.0
K Paul,Delhi Capitals,5.0,22.0,8.0,9.0
YS Chahal,Royal Challengers Bangalore,12.0,22.0,82.0,100.0
MS Wade,Delhi Capitals,3.0,22.0,0.0,0.0
L Balaji,Chennai Super Kings,7.0,22.0,29.0,31.0
JO Holder,Kolkata Knight Riders,4.0,22.0,4.0,2.0
AN Ahmed,Mumbai Indians,2.0,22.0,10.0,8.0
H Brar,Kings XI Punjab,1.0,22.0,2.0,0.0
R Dhawan,Mumbai Indians,4.0,21.0,5.0,2.0
AJ Finch,Rajasthan Royals,1.0,21.0,1.0,0.0
CA Ingram,Delhi Capitals,3.0,21.0,0.0,0.0
DE Bollinger,Chennai Super Kings,4.0,21.0,27.0,37.0
B Chipli,Royal Challengers Bangalore,3.0,20.0,0.0,0.0
AC Thomas,Pune Warriors,4.0,20.0,15.0,14.0
RR Raje,Mumbai Indians,5.0,20.0,10.0,6.0
Harpreet Singh,Pune Warriors,3.0,20.0,0.0,0.0
P R Barman,Royal Challengers Bangalore,1.0,20.0,1.0,0.0
AD Nath,Gujarat Lions,4.0,20.0,0.0,0.0
NJ Maddinson,Royal Challengers Bangalore,3.0,20.0,0.0,0.0
P Sahu,Kings XI Punjab,2.0,19.0,5.0,3.0
AD Mascarenhas,Kings XI Punjab,4.0,19.0,5.0,7.0
DR Martyn,Rajasthan Royals,1.0,19.0,0.0,0.0
AB Agarkar,Delhi Capitals,3.0,19.0,15.0,11.0
R Bishnoi,Royal Challengers Bangalore,3.0,19.0,0.0,0.0
Vishnu Vinod,Royal Challengers Bangalore,3.0,19.0,0.0,0.0
R Tewatia,Kings XI Punjab,2.0,19.0,3.0,3.0
A Mukund,Royal Challengers Bangalore,1.0,19.0,0.0,0.0
Y Gnaneswara Rao,Kochi Tuskers Kerala,1.0,19.0,1.0,0.0
KM Jadhav,Kochi Tuskers Kerala,4.0,18.0,0.0,0.0
Ankit Sharma,Deccan Chargers,4.0,18.0,9.0,4.0
R Shukla,Delhi Capitals,3.0,18.0,3.0,2.0
S Rana,Pune Warriors,1.0,18.0,1.0,0.0
JJ van der Wath,Royal Challengers Bangalore,3.0,18.0,3.0,3.0
AP Tare,Delhi Capitals,3.0,18.0,0.0,0.0
SD Chitnis,Mumbai Indians,2.0,18.0,2.0,2.0
BJ Haddin,Kolkata Knight Riders,1.0,18.0,0.0,0.0
PJ Sangwan,Delhi Capitals,8.0,18.0,28.0,29.0
DS Lehmann,Rajasthan Royals,2.0,18.0,0.0,0.0
Harmeet Singh,Kings XI Punjab,3.0,18.0,10.0,12.0
Imran Tahir,Delhi Capitals,5.0,18.0,20.0,29.0
TG Southee,Rajasthan Royals,3.0,17.0,10.0,6.0
S Singh,Kings XI Punjab,1.0,17.0,0.0,0.0
M Morkel,Rajasthan Royals,3.0,17.0,4.0,0.0
CR Woakes,Royal Challengers Bangalore,4.0,17.0,5.0,8.0
P Kumar,Sunrisers Hyderabad,4.0,17.0,12.0,7.0
CJ Anderson,Royal Challengers Bangalore,3.0,17.0,3.0,3.0
MG Johnson,Kolkata Knight Riders,2.0,17.0,6.0,2.0
JA Morkel,Rising Pune Supergiant,1.0,16.0,2.0,2.0
CK Kapugedera,Chennai Super Kings,3.0,16.0,3.0,0.0
JO Holder,Sunrisers Hyderabad,1.0,16.0,1.0,1.0
D Shorey,Chennai Super Kings,2.0,16.0,0.0,0.0
B Chipli,Delhi Capitals,1.0,16.0,0.0,0.0
R Tewatia,Rajasthan Royals,1.0,16.0,4.0,3.0
DW Steyn,Royal Challengers Bangalore,7.0,15.0,30.0,31.0
KC Cariappa,Kings XI Punjab,4.0,15.0,9.0,7.0
C Madan,Mumbai Indians,1.0,15.0,0.0,0.0
VY Mahesh,Delhi Capitals,5.0,15.0,13.0,18.0
SA Abbott,Royal Challengers Bangalore,2.0,15.0,2.0,0.0
GB Hogg,Rajasthan Royals,2.0,15.0,10.0,10.0
P Dogra,Kings XI Punjab,3.0,15.0,0.0,0.0
GR Napier,Mumbai Indians,1.0,15.0,1.0,1.0
A Joseph,Mumbai Indians,1.0,15.0,3.0,6.0
SD Lad,Mumbai Indians,1.0,15.0,0.0,0.0
S Gopal,Mumbai Indians,3.0,14.0,6.0,7.0
S Narwal,Rajasthan Royals,3.0,14.0,5.0,5.0
DB Ravi Teja,Sunrisers Hyderabad,2.0,14.0,0.0,0.0
F Behardien,Kings XI Punjab,3.0,14.0,0.0,0.0
AN Ahmed,Royal Challengers Bangalore,4.0,14.0,7.0,4.0
CH Morris,Chennai Super Kings,6.0,14.0,16.0,15.0
JP Faulkner,Kings XI Punjab,2.0,14.0,2.0,3.0
MDKJ Perera,Rajasthan Royals,2.0,14.0,0.0,0.0
DL Chahar,Rising Pune Supergiant,1.0,14.0,5.0,1.0
NM Coulter-Nile,Kolkata Knight Riders,3.0,14.0,8.0,15.0
S Badree,Royal Challengers Bangalore,5.0,13.0,7.0,9.0
L Balaji,Kolkata Knight Riders,4.0,13.0,35.0,33.0
S Mavi,Kolkata Knight Riders,3.0,13.0,9.0,5.0
DJG Sammy,Royal Challengers Bangalore,2.0,13.0,2.0,0.0
KJ Abbott,Kings XI Punjab,3.0,13.0,5.0,2.0
DT Patil,Royal Challengers Bangalore,2.0,13.0,0.0,0.0
R Vinay Kumar,Mumbai Indians,4.0,13.0,17.0,12.0
B Akhil,Kochi Tuskers Kerala,1.0,13.0,1.0,0.0
Swapnil Singh,Kings XI Punjab,3.0,12.0,5.0,1.0
T Thushara,Chennai Super Kings,4.0,12.0,6.0,8.0
RD Chahar,Mumbai Indians,4.0,12.0,13.0,13.0
K Upadhyay,Pune Warriors,2.0,12.0,3.0,0.0
AS Rajpoot,Kings XI Punjab,3.0,12.0,12.0,14.0
DAJ Bracewell,Delhi Capitals,1.0,12.0,1.0,3.0
NLTC Perera,Kings XI Punjab,2.0,12.0,2.0,1.0
M Ur Rahman,Kings XI Punjab,4.0,12.0,16.0,17.0
AR Bawne,Delhi Capitals,1.0,12.0,0.0,0.0
Karanveer Singh,Kings XI Punjab,4.0,12.0,9.0,12.0
AA Chavan,Rajasthan Royals,3.0,12.0,13.0,8.0
CR Brathwaite,Kolkata Knight Riders,2.0,12.0,2.0,0.0
RR Powar,Kochi Tuskers Kerala,3.0,11.0,5.0,2.0
M Ntini,Chennai Super Kings,2.0,11.0,9.0,7.0
Ankit Sharma,Sunrisers Hyderabad,3.0,11.0,3.0,1.0
T Henderson,Rajasthan Royals,2.0,11.0,2.0,1.0
IK Pathan,Rising Pune Supergiant,3.0,11.0,3.0,0.0
DNT Zoysa,Deccan Chargers,2.0,11.0,3.0,2.0
R Vinay Kumar,Kolkata Knight Riders,3.0,11.0,11.0,9.0
AB Dinda,Pune Warriors,6.0,11.0,20.0,25.0
PV Tambe,Rajasthan Royals,5.0,11.0,26.0,23.0
MC Henriques,Delhi Capitals,1.0,11.0,1.0,1.0
A Nehra,Pune Warriors,2.0,11.0,13.0,11.0
T Kohli,Rajasthan Royals,2.0,10.0,0.0,0.0
Parvez Rasool,Royal Challengers Bangalore,1.0,10.0,4.0,1.0
H Klaasen,Royal Challengers Bangalore,2.0,10.0,0.0,0.0
AA Jhunjhunwala,Pune Warriors,2.0,10.0,2.0,0.0
SMSM Senanayake,Kolkata Knight Riders,4.0,10.0,8.0,9.0
I Sharma,Delhi Capitals,1.0,10.0,13.0,13.0
X Thalaivan Sargunam,Sunrisers Hyderabad,1.0,10.0,0.0,0.0
PP Ojha,Mumbai Indians,9.0,10.0,37.0,29.0
TD Paine,Pune Warriors,2.0,10.0,0.0,0.0
I Sodhi,Rajasthan Royals,2.0,10.0,8.0,9.0
KAJ Roach,Deccan Chargers,1.0,10.0,2.0,0.0
Z Khan,Delhi Capitals,5.0,10.0,30.0,27.0
D du Preez,Royal Challengers Bangalore,1.0,10.0,2.0,4.0
AD Nath,Kings XI Punjab,1.0,9.0,0.0,0.0
M Muralitharan,Chennai Super Kings,6.0,9.0,40.0,40.0
AA Noffke,Royal Challengers Bangalore,1.0,9.0,1.0,1.0
KC Cariappa,Kolkata Knight Riders,1.0,9.0,2.0,1.0
SM Harwood,Rajasthan Royals,2.0,9.0,3.0,3.0
KK Nair,Royal Challengers Bangalore,2.0,9.0,0.0,0.0
Washington Sundar,Rising Pune Supergiant,5.0,9.0,10.0,8.0
S Kaul,Delhi Capitals,2.0,9.0,11.0,6.0
M Morkel,Kolkata Knight Riders,3.0,9.0,29.0,32.0
NM Coulter-Nile,Mumbai Indians,1.0,9.0,1.0,1.0
BCJ Cutting,Rajasthan Royals,1.0,8.0,1.0,1.0
S Sharma,Sunrisers Hyderabad,2.0,8.0,11.0,12.0
P Chopra,Rajasthan Royals,1.0,8.0,0.0,0.0
R Bhui,Sunrisers Hyderabad,2.0,8.0,0.0,0.0
I Sharma,Kings XI Punjab,3.0,8.0,6.0,0.0
TS Mills,Royal Challengers Bangalore,3.0,8.0,5.0,5.0
CK Langeveldt,Royal Challengers Bangalore,1.0,8.0,3.0,5.0
CJ McKay,Mumbai Indians,1.0,8.0,2.0,1.0
Jaskaran Singh,Deccan Chargers,4.0,8.0,7.0,6.0
N Naik,Kolkata Knight Riders,1.0,8.0,0.0,0.0
AP Tare,Sunrisers Hyderabad,2.0,8.0,0.0,0.0
AG Murtaza,Pune Warriors,2.0,8.0,4.0,3.0
STR Binny,Mumbai Indians,1.0,8.0,1.0,0.0
J Searles,Kolkata Knight Riders,2.0,8.0,3.0,2.0
TM Srivastava,Kings XI Punjab,3.0,8.0,0.0,0.0
SN Thakur,Kings XI Punjab,1.0,7.0,1.0,1.0
AF Milne,Royal Challengers Bangalore,3.0,7.0,5.0,4.0
PV Tambe,Gujarat Lions,1.0,7.0,7.0,5.0
MR Marsh,Rising Pune Supergiant,1.0,7.0,3.0,4.0
AN Ghosh,Kolkata Knight Riders,2.0,7.0,0.0,0.0
UA Birla,Pune Warriors,1.0,7.0,0.0,0.0
I Malhotra,Deccan Chargers,1.0,7.0,1.0,0.0
GB Hogg,Kolkata Knight Riders,2.0,7.0,11.0,13.0
AB Dinda,Rising Pune Supergiant,1.0,7.0,12.0,12.0
Ankit Soni,Gujarat Lions,3.0,7.0,6.0,2.0
J Theron,Deccan Chargers,1.0,7.0,2.0,2.0
TA Boult,Delhi Capitals,3.0,7.0,19.0,23.0
MV Boucher,Kolkata Knight Riders,2.0,6.0,0.0,0.0
Azhar Mahmood,Kolkata Knight Riders,1.0,6.0,1.0,0.0
SS Shaikh,Kolkata Knight Riders,1.0,6.0,0.0,0.0
SB Joshi,Royal Challengers Bangalore,2.0,6.0,4.0,1.0
H Viljoen,Kings XI Punjab,3.0,6.0,6.0,7.0
VS Malik,Kings XI Punjab,1.0,6.0,9.0,3.0
PP Ojha,Deccan Chargers,10.0,6.0,53.0,60.0
SD Chitnis,Rajasthan Royals,1.0,6.0,0.0,0.0
BA Bhatt,Kings XI Punjab,2.0,6.0,15.0,12.0
PSP Handscomb,Rising Pune Supergiant,1.0,6.0,0.0,0.0
J Suchith,Delhi Capitals,1.0,6.0,1.0,2.0
DM Bravo,Kolkata Knight Riders,1.0,6.0,0.0,0.0
RP Singh,Mumbai Indians,5.0,6.0,11.0,10.0
PC Valthaty,Rajasthan Royals,2.0,6.0,0.0,0.0
DT Christian,Royal Challengers Bangalore,2.0,6.0,2.0,0.0
Q de Kock,Sunrisers Hyderabad,3.0,6.0,0.0,0.0
M Muralitharan,Royal Challengers Bangalore,2.0,6.0,21.0,21.0
CA Lynn,Deccan Chargers,1.0,6.0,0.0,0.0
J Yadav,Delhi Capitals,2.0,6.0,10.0,4.0
A Zampa,Rising Pune Supergiant,2.0,5.0,11.0,19.0
Mohammed Shami,Kolkata Knight Riders,1.0,5.0,3.0,1.0
SJ Srivastava,Kings XI Punjab,4.0,5.0,14.0,14.0
KMDN Kulasekara,Chennai Super Kings,1.0,5.0,5.0,5.0
M Rawat,Pune Warriors,1.0,5.0,0.0,0.0
Parvez Rasool,Pune Warriors,2.0,5.0,2.0,1.0
Shivam Sharma,Kings XI Punjab,2.0,5.0,5.0,4.0
P Awana,Kings XI Punjab,5.0,5.0,33.0,39.0
M Muralitharan,Kochi Tuskers Kerala,1.0,5.0,5.0,2.0
PR Shah,Rajasthan Royals,1.0,5.0,0.0,0.0
SB Styris,Chennai Super Kings,1.0,5.0,1.0,0.0
Pankaj Singh,Rajasthan Royals,2.0,5.0,12.0,7.0
P Dogra,Kolkata Knight Riders,1.0,5.0,0.0,0.0
B Stanlake,Sunrisers Hyderabad,1.0,5.0,4.0,5.0
TA Boult,Kolkata Knight Riders,1.0,5.0,6.0,5.0
R Salam,Mumbai Indians,1.0,5.0,1.0,0.0
VRV Singh,Kings XI Punjab,2.0,4.0,18.0,12.0
MS Gony,Deccan Chargers,3.0,4.0,9.0,7.0
AB Dinda,Royal Challengers Bangalore,3.0,4.0,11.0,5.0
AS Rajpoot,Kolkata Knight Riders,1.0,4.0,9.0,7.0
RV Gomez,Pune Warriors,1.0,4.0,1.0,0.0
RS Sodhi,Kings XI Punjab,1.0,4.0,0.0,0.0
A Uniyal,Rajasthan Royals,2.0,4.0,2.0,2.0
FH Edwards,Deccan Chargers,2.0,4.0,6.0,5.0
A Turner,Rajasthan Royals,4.0,4.0,0.0,0.0
AB Dinda,Kolkata Knight Riders,5.0,4.0,27.0,22.0
DP Nannes,Delhi Capitals,2.0,4.0,22.0,22.0
Mandeep Singh,Kolkata Knight Riders,2.0,4.0,0.0,0.0
VR Aaron,Kings XI Punjab,2.0,4.0,6.0,7.0
CRD Fernando,Mumbai Indians,2.0,4.0,10.0,17.0
Basil Thampi,Sunrisers Hyderabad,2.0,4.0,7.0,5.0
PJ Sangwan,Kolkata Knight Riders,1.0,4.0,3.0,1.0
NLTC Perera,Mumbai Indians,2.0,4.0,2.0,0.0
I Sharma,Deccan Chargers,4.0,4.0,12.0,11.0
B Laughlin,Chennai Super Kings,2.0,4.0,2.0,1.0
S Sriram,Delhi Capitals,1.0,4.0,1.0,0.0
Avesh Khan,Delhi Capitals,1.0,4.0,7.0,4.0
Anureet Singh,Rajasthan Royals,1.0,4.0,3.0,1.0
BB Sran,Sunrisers Hyderabad,3.0,4.0,15.0,14.0
A Chandila,Rajasthan Royals,2.0,4.0,12.0,11.0
GD McGrath,Delhi Capitals,2.0,4.0,14.0,12.0
BB Sran,Kings XI Punjab,3.0,4.0,6.0,4.0
A Dananjaya,Mumbai Indians,1.0,4.0,1.0,0.0
H Vihari,Delhi Capitals,2.0,4.0,1.0,0.0
VR Aaron,Rajasthan Royals,1.0,3.0,5.0,4.0
D Kalyankrishna,Deccan Chargers,1.0,3.0,3.0,2.0
S Kaul,Sunrisers Hyderabad,5.0,3.0,34.0,43.0
M Wood,Chennai Super Kings,1.0,3.0,1.0,0.0
KB Arun Karthik,Chennai Super Kings,1.0,3.0,0.0,0.0
Kamran Khan,Rajasthan Royals,1.0,3.0,8.0,9.0
R McLaren,Kolkata Knight Riders,2.0,3.0,2.0,3.0
RD Chahar,Rising Pune Supergiant,1.0,3.0,2.0,2.0
JE Taylor,Pune Warriors,2.0,3.0,5.0,6.0
M Ashwin,Kings XI Punjab,3.0,3.0,10.0,5.0
Sachin Baby,Rajasthan Royals,1.0,3.0,0.0,0.0
Mohammad Asif,Delhi Capitals,2.0,3.0,8.0,8.0
Younis Khan,Rajasthan Royals,1.0,3.0,0.0,0.0
A Nehra,Mumbai Indians,3.0,3.0,14.0,12.0
MK Pandey,Mumbai Indians,2.0,3.0,0.0,0.0
BB Sran,Mumbai Indians,1.0,3.0,2.0,0.0
N Saini,Royal Challengers Bangalore,2.0,3.0,13.0,11.0
CJ Jordan,Royal Challengers Bangalore,1.0,3.0,9.0,11.0
S Anirudha,Sunrisers Hyderabad,1.0,3.0,0.0,0.0
R Ninan,Royal Challengers Bangalore,1.0,3.0,2.0,3.0
