Player,Team,Batting Innings,Runs,Bowling Innings,Wickets
BB McCullum,Gujarat Lions,27.0,673.0,0.0,0.0
AB de Villiers,Delhi Capitals,26.0,671.0,0.0,0.0
N Rana,Kolkata Knight Riders,26.0,667.0,11.0,7.0
DPMD Jayawardene,Delhi Capitals,30.0,666.0,0.0,0.0
MK Pandey,Sunrisers Hyderabad,24.0,649.0,0.0,0.0
BJ Hodge,Rajasthan Royals,30.0,639.0,3.0,1.0
KK Nair,Delhi Capitals,25.0,638.0,0.0,0.0
DR Smith,Mumbai Indians,22.0,620.0,13.0,9.0
P Shaw,Delhi Capitals,25.0,616.0,0.0,0.0
Mandeep Singh,Royal Challengers Bangalore,31.0,612.0,0.0,0.0
SA Yadav,Kolkata Knight Riders,41.0,608.0,1.0,0.0
IK Pathan,Kings XI Punjab,35.0,603.0,42.0,47.0
KP Pietersen,Delhi Capitals,19.0,599.0,3.0,0.0
TM Dilshan,Royal Challengers Bangalore,24.0,587.0,12.0,1.0
NV Ojha,Sunrisers Hyderabad,39.0,584.0,0.0,0.0
CL White,Deccan Chargers,19.0,583.0,2.0,0.0
Yuvraj Singh,Pune Warriors,26.0,581.0,23.0,15.0
HM Amla,Kings XI Punjab,16.0,577.0,0.0,0.0
JP Duminy,Mumbai Indians,21.0,577.0,10.0,5.0
MS Dhoni,Rising Pune Supergiant,27.0,574.0,0.0,0.0
KM Jadhav,Delhi Capitals,37.0,566.0,0.0,0.0
TM Dilshan,Delhi Capitals,26.0,566.0,13.0,4.0
DR Smith,Gujarat Lions,23.0,563.0,17.0,10.0
KC Sangakkara,Deccan Chargers,25.0,558.0,0.0,0.0
Q de Kock,Mumbai Indians,16.0,555.0,0.0,0.0
V Sehwag,Kings XI Punjab,25.0,554.0,0.0,0.0
RV Uthappa,Royal Challengers Bangalore,27.0,549.0,0.0,0.0
JD Ryder,Pune Warriors,24.0,548.0,11.0,5.0
NV Ojha,Rajasthan Royals,22.0,545.0,0.0,0.0
TL Suman,Deccan Chargers,26.0,544.0,7.0,5.0
MS Bisla,Kolkata Knight Riders,27.0,543.0,0.0,0.0
JC Buttler,Mumbai Indians,24.0,527.0,0.0,0.0
MK Pandey,Pune Warriors,25.0,525.0,0.0,0.0
SPD Smith,Pune Warriors,21.0,521.0,1.0,0.0
LRPL Taylor,Royal Challengers Bangalore,22.0,517.0,1.0,0.0
S Gill,Kolkata Knight Riders,23.0,517.0,0.0,0.0
PA Patel,Chennai Super Kings,26.0,516.0,0.0,0.0
GJ Bailey,Kings XI Punjab,28.0,516.0,0.0,0.0
DJ Hussey,Kolkata Knight Riders,23.0,511.0,13.0,2.0
KK Nair,Rajasthan Royals,23.0,511.0,0.0,0.0
SS Tiwary,Mumbai Indians,21.0,510.0,0.0,0.0
PC Valthaty,Kings XI Punjab,21.0,499.0,10.0,7.0
Shakib Al Hasan,Kolkata Knight Riders,32.0,498.0,42.0,43.0
Yuvraj Singh,Sunrisers Hyderabad,21.0,488.0,7.0,1.0
SS Tiwary,Royal Challengers Bangalore,30.0,487.0,0.0,0.0
BJ Hodge,Kolkata Knight Riders,19.0,476.0,13.0,9.0
J Bairstow,Sunrisers Hyderabad,10.0,468.0,0.0,0.0
Y Venugopal Rao,Delhi Capitals,21.0,468.0,4.0,0.0
IK Pathan,Delhi Capitals,37.0,468.0,45.0,29.0
E Lewis,Mumbai Indians,16.0,464.0,0.0,0.0
CH Gayle,Kolkata Knight Riders,16.0,463.0,13.0,5.0
MA Agarwal,Kings XI Punjab,24.0,462.0,0.0,0.0
DJ Bravo,Mumbai Indians,25.0,457.0,30.0,26.0
AM Nayar,Mumbai Indians,24.0,457.0,9.0,5.0
AJ Finch,Pune Warriors,14.0,456.0,3.0,1.0
JP Duminy,Deccan Chargers,19.0,449.0,14.0,5.0
Y Venugopal Rao,Deccan Chargers,26.0,446.0,14.0,6.0
EJG Morgan,Kolkata Knight Riders,22.0,444.0,0.0,0.0
N Rana,Mumbai Indians,15.0,437.0,1.0,0.0
MA Agarwal,Royal Challengers Bangalore,24.0,433.0,0.0,0.0
CH Morris,Delhi Capitals,24.0,430.0,34.0,41.0
RA Jadeja,Rajasthan Royals,22.0,430.0,11.0,6.0
NV Ojha,Delhi Capitals,33.0,426.0,0.0,0.0
SA Asnodkar,Rajasthan Royals,19.0,423.0,0.0,0.0
KL Rahul,Royal Challengers Bangalore,14.0,417.0,0.0,0.0
MK Pandey,Royal Challengers Bangalore,17.0,417.0,0.0,0.0
PP Chawla,Kings XI Punjab,49.0,401.0,87.0,84.0
AL Menaria,Rajasthan Royals,23.0,401.0,12.0,3.0
Ishan Kishan,Mumbai Indians,18.0,392.0,0.0,0.0
RA Tripathi,Rising Pune Supergiant,14.0,391.0,1.0,0.0
MV Boucher,Royal Challengers Bangalore,21.0,388.0,0.0,0.0
RS Bopara,Kings XI Punjab,14.0,386.0,7.0,5.0
DJ Hooda,Sunrisers Hyderabad,36.0,384.0,13.0,5.0
Azhar Mahmood,Kings XI Punjab,20.0,382.0,22.0,29.0
JP Faulkner,Rajasthan Royals,32.0,382.0,42.0,47.0
RA Tripathi,Rajasthan Royals,19.0,380.0,0.0,0.0
CJ Anderson,Mumbai Indians,15.0,379.0,11.0,5.0
Yuvraj Singh,Royal Challengers Bangalore,14.0,376.0,10.0,5.0
LR Shukla,Kolkata Knight Riders,30.0,374.0,22.0,14.0
OA Shah,Rajasthan Royals,15.0,365.0,0.0,0.0
DB Ravi Teja,Deccan Chargers,23.0,361.0,2.0,1.0
BB McCullum,Kochi Tuskers Kerala,13.0,357.0,0.0,0.0
MA Agarwal,Delhi Capitals,21.0,355.0,0.0,0.0
V Shankar,Sunrisers Hyderabad,18.0,351.0,5.0,1.0
RA Jadeja,Gujarat Lions,25.0,349.0,26.0,13.0
Gurkeerat Singh,Kings XI Punjab,24.0,342.0,6.0,5.0
DT Christian,Deccan Chargers,20.0,335.0,21.0,19.0
J Botha,Rajasthan Royals,19.0,335.0,24.0,19.0
BA Stokes,Rajasthan Royals,21.0,331.0,18.0,14.0
KP Pietersen,Royal Challengers Bangalore,13.0,329.0,10.0,7.0
JEC Franklin,Mumbai Indians,16.0,327.0,15.0,9.0
